,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
97,600036.XSHG,600036,招商银行,XSHG,2022-02-23,51.22,51.22,51.46,51.46,50.65,50.83,37499974,1905978106,70469,0.0018,1,1048569243852,1281924751848,-0.0076,11.2101,10.2702,1.6248,1,50.826
98,600036.XSHG,600036,招商银行,XSHG,2022-02-24,50.83,50.83,50.55,50.58,49.85,50.02,48238083,2418202039,93928,0.0023,1,1031859798888,1261496676912,-0.0159,11.0315,10.1065,1.5989,1,50.131
99,600036.XSHG,600036,招商银行,XSHG,2022-02-25,50.02,50.02,50.04,50.5,49.55,49.81,45184050,2256854494,81068,0.0022,1,1027527720564,1256200509336,-0.0042,10.9852,10.0641,1.5922,1,49.948
100,600036.XSHG,600036,招商银行,XSHG,2022-02-28,49.81,49.81,49.59,49.94,49.31,49.8,33528964,1662895005,59775,0.0016,1,1027321431120,1255948310880,-0.0002,10.983,10.0621,1.5919,1,49.596
101,600036.XSHG,600036,招商银行,XSHG,2022-03-01,49.8,49.8,50.0,50.5,49.36,50.24,40645436,2027737708,73051,0.002,1,1036398166656,1267045042944,0.0088,11.08,10.151,1.606,1,49.888
102,600036.XSHG,600036,招商银行,XSHG,2022-03-02,50.24,50.24,49.8,50.23,49.44,49.47,39707598,1972076233,70934,0.0019,1,1020513879468,1247625761832,-0.0153,10.9102,9.9954,1.5813,1,49.665
103,600036.XSHG,600036,招商银行,XSHG,2022-03-03,49.47,49.47,49.58,49.97,49.45,49.73,31128967,1546031524,59565,0.0015,1,1025877405012,1254182921688,0.0053,10.9675,10.0479,1.5897,1,49.665
104,600036.XSHG,600036,招商银行,XSHG,2022-03-04,49.73,49.73,49.25,49.39,48.5,48.7,57789720,2818733866,109484,0.0028,1,1004629592280,1228206480720,-0.0207,10.7404,9.8398,1.5567,1,48.776
105,600036.XSHG,600036,招商银行,XSHG,2022-03-07,48.7,48.7,48.01,48.26,46.5,46.76,101435369,4773665662,176973,0.0049,1,964609440144,1179279980256,-0.0398,10.3125,9.4478,1.4947,1,47.061
106,600036.XSHG,600036,招商银行,XSHG,2022-03-08,46.76,46.76,46.56,46.77,45.2,45.48,83466464,3842685602,127384,0.004,1,938204391312,1146998577888,-0.0274,10.0302,9.1892,1.4538,1,46.039
107,600036.XSHG,600036,招商银行,XSHG,2022-03-09,45.48,45.48,45.6,45.73,43.01,44.39,90043112,4012104662,142744,0.0044,1,915718841916,1119508946184,-0.024,9.7899,8.969,1.419,1,44.558
108,600036.XSHG,600036,招商银行,XSHG,2022-03-10,44.39,44.39,45.6,45.7,44.63,44.7,67149583,3031093298,112149,0.0033,1,922113814680,1127327098320,0.007,9.8582,9.0316,1.4289,1,45.139
109,600036.XSHG,600036,招商银行,XSHG,2022-03-11,44.7,44.7,44.5,44.79,43.1,44.45,74052488,3252533334,125714,0.0036,1,916956578580,1121022136920,-0.0056,9.8031,8.9811,1.4209,1,43.922
110,600036.XSHG,600036,招商银行,XSHG,2022-03-14,44.45,44.45,43.5,43.98,42.1,42.15,108046557,4627178709,185220,0.0052,1,869510006460,1063016492040,-0.0517,9.2958,8.5164,1.3474,1,42.826
111,600036.XSHG,600036,招商银行,XSHG,2022-03-15,42.15,42.15,41.61,41.61,39.18,39.45,131309249,5293255402,208133,0.0064,1,813811856580,994922908920,-0.0641,8.2964,8.2964,1.1586,1,40.311
112,600036.XSHG,600036,招商银行,XSHG,2022-03-16,39.45,39.45,40.06,42.8,39.91,42.58,137744932,5685452904,201544,0.0067,1,878380452552,1073861025648,0.0793,8.9547,8.9547,1.2505,1,41.275
113,600036.XSHG,600036,招商银行,XSHG,2022-03-17,42.58,42.58,44.15,45.17,43.67,44.51,131964759,5873750265,189329,0.0064,1,918194315244,1122535327656,0.0453,9.3605,9.3605,1.3072,1,44.51
114,600036.XSHG,600036,招商银行,XSHG,2022-03-18,44.51,44.51,44.6,46.17,44.02,46.17,92358531,4173209905,128754,0.0045,1,952438362948,1164400271352,0.0373,9.7096,9.7096,1.3559,1,45.185
115,600036.XSHG,600036,招商银行,XSHG,2022-03-21,46.17,46.17,45.89,45.89,44.6,44.81,79103220,3566893332,127753,0.0038,1,924382998564,1130101281336,-0.0295,9.4236,9.4236,1.316,1,45.092
116,600036.XSHG,600036,招商银行,XSHG,2022-03-22,44.81,44.81,45.04,45.86,44.82,45.53,54903830,2497185117,91858,0.0027,1,939235838532,1148259570168,0.0161,9.5751,9.5751,1.3371,1,45.483
117,600036.XSHG,600036,招商银行,XSHG,2022-03-23,45.53,45.53,45.69,45.97,45.3,45.76,46995984,2148515086,86597,0.0023,1,943980495744,1154060134656,0.0051,9.6234,9.6234,1.3439,1,45.717
118,600036.XSHG,600036,招商银行,XSHG,2022-03-24,45.76,45.76,45.6,46.09,45.36,45.77,38033234,1742027092,78654,0.0018,1,944186785188,1154312333112,0.0002,9.6255,9.6255,1.3442,1,45.803
